GLORIA_ID,Chl_mean,Chl_std,Chl_N,Chl_N_type,Chl_plus_phaeo_mean,Chl_plus_phaeo_std,Chl_plus_phaeo_N,Chl_plus_phaeo_N_type,TSS_mean,TSS_std,TSS_N,TSS_N_type,aCDOM_mean,aCDOM_std,aCDOM_N,aCDOM_N_type
GID_153,NaN,NaN,NaN,,13.15,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_154,NaN,NaN,NaN,,11.07,0.29,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_155,NaN,NaN,NaN,,6.83,0.04,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_156,NaN,NaN,NaN,,8.48,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_157,NaN,NaN,NaN,,8.52,0.04,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_158,NaN,NaN,NaN,,3.1,0.215,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_160,NaN,NaN,NaN,,37.17,0.98,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_161,NaN,NaN,NaN,,5.94,0.215,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_162,NaN,NaN,NaN,,4.37,0.455000000000002,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_163,NaN,NaN,NaN,,17.64,0.00499999999999901,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_164,NaN,NaN,NaN,,11.11,0.255,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_166,NaN,NaN,NaN,,5.13,0.04,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_167,NaN,NaN,NaN,,6.57,0.3,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_168,NaN,NaN,NaN,,4.01,0.17,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_169,NaN,NaN,NaN,,4.36,0.3,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_170,NaN,NaN,NaN,,20.91,0.734999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_172,NaN,NaN,NaN,,4.63,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_173,NaN,NaN,NaN,,2.71,0.395,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_174,NaN,NaN,NaN,,34.58,0.0599999999999987,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_175,NaN,NaN,NaN,,5.54,0.51,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_176,NaN,NaN,NaN,,3.98,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_177,NaN,NaN,NaN,,17.86,0.734999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_179,NaN,NaN,NaN,,6.28,0.17,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_180,NaN,NaN,NaN,,10.88,0.00500000000000078,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_181,NaN,NaN,NaN,,5.91,0.215,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_182,NaN,NaN,NaN,,69.29,0.594999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_183,NaN,NaN,NaN,,57.33,6.95000000000005,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_184,NaN,NaN,NaN,,49.79,2.805,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_185,NaN,NaN,NaN,,6.86,0.175,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_186,NaN,NaN,NaN,,7.53,0.15,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_187,NaN,NaN,NaN,,6.14,0.475,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_188,NaN,NaN,NaN,,9.4,0.0199999999999996,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_189,NaN,NaN,NaN,,9.1,0.735,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_190,NaN,NaN,NaN,,11.25,0.17,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_191,NaN,NaN,NaN,,6.98,0.145,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_192,NaN,NaN,NaN,,NaN,NaN,NaN,,0.907,0.257164020293144,3,lab,NaN,NaN,NaN,
GID_193,NaN,NaN,NaN,,NaN,NaN,NaN,,1.7,0.2,3,lab,NaN,NaN,NaN,
GID_194,NaN,NaN,NaN,,NaN,NaN,NaN,,4.733,0.305505046,3,lab,NaN,NaN,NaN,
GID_195,NaN,NaN,NaN,,NaN,NaN,NaN,,1.267,0.152752523,3,lab,NaN,NaN,NaN,
GID_196,NaN,NaN,NaN,,NaN,NaN,NaN,,2.267,0.115470054,3,lab,NaN,NaN,NaN,
GID_197,NaN,NaN,NaN,,NaN,NaN,NaN,,1.433,0.057735027,3,lab,NaN,NaN,NaN,
GID_198,NaN,NaN,NaN,,NaN,NaN,NaN,,3.067,0.305505046,3,lab,NaN,NaN,NaN,
GID_199,NaN,NaN,NaN,,NaN,NaN,NaN,,1.267,0.251661147842352,3,lab,NaN,NaN,NaN,
GID_200,NaN,NaN,NaN,,NaN,NaN,NaN,,1.433,0.152752523,3,lab,NaN,NaN,NaN,
GID_201,NaN,NaN,NaN,,NaN,NaN,NaN,,17.167,2.081665999,3,lab,NaN,NaN,NaN,
GID_202,NaN,NaN,NaN,,NaN,NaN,NaN,,22.533,1.61658075373091,3,lab,NaN,NaN,NaN,
GID_203,NaN,NaN,NaN,,NaN,NaN,NaN,,17.444,1.895413568,3,lab,NaN,NaN,NaN,
GID_204,NaN,NaN,NaN,,NaN,NaN,NaN,,16.267,0.230940107675837,3,lab,NaN,NaN,NaN,
GID_205,NaN,NaN,NaN,,NaN,NaN,NaN,,12.556,4.880042501,3,lab,NaN,NaN,NaN,
GID_206,NaN,NaN,NaN,,NaN,NaN,NaN,,19.467,1.00664459136941,3,lab,NaN,NaN,NaN,
GID_207,NaN,NaN,NaN,,NaN,NaN,NaN,,3.222,0.19245009,3,lab,NaN,NaN,NaN,
GID_208,NaN,NaN,NaN,,NaN,NaN,NaN,,7.733,1.006644591,3,lab,NaN,NaN,NaN,
GID_209,NaN,NaN,NaN,,NaN,NaN,NaN,,2.549,0.067923561,3,lab,NaN,NaN,NaN,
GID_210,NaN,NaN,NaN,,NaN,NaN,NaN,,8.167,1.258305739,3,lab,NaN,NaN,NaN,
GID_211,NaN,NaN,NaN,,NaN,NaN,NaN,,4.267,2.22e-14,3,lab,NaN,NaN,NaN,
GID_212,NaN,NaN,NaN,,NaN,NaN,NaN,,1.956,0.335548197,3,lab,NaN,NaN,NaN,
GID_213,NaN,NaN,NaN,,NaN,NaN,NaN,,3.333,0.21821789,3,lab,NaN,NaN,NaN,
GID_214,NaN,NaN,NaN,,NaN,NaN,NaN,,8.533,0.577350269,3,lab,NaN,NaN,NaN,
GID_215,NaN,NaN,NaN,,NaN,NaN,NaN,,12.8,1.058300524,3,lab,NaN,NaN,NaN,
GID_216,NaN,NaN,NaN,,NaN,NaN,NaN,,3.689,0.277555467,3,lab,NaN,NaN,NaN,
GID_217,NaN,NaN,NaN,,NaN,NaN,NaN,,4.267,0.133333333,3,lab,NaN,NaN,NaN,
GID_218,NaN,NaN,NaN,,NaN,NaN,NaN,,1.519,0.169725026,3,lab,NaN,NaN,NaN,
GID_219,NaN,NaN,NaN,,NaN,NaN,NaN,,1.407,0.279623498,3,lab,NaN,NaN,NaN,
